"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Squat (Barbell)",,"",0,"warmup",50,9,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Squat (Barbell)",,"",1,"warmup",70,4,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Squat (Barbell)",,"",2,"warmup",100,2,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Squat (Barbell)",,"",3,"normal",120,6,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Squat (Barbell)",,"",4,"failure",120,5,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Seated Leg Curl (Machine)",,"",0,"warmup",40,6,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Seated Leg Curl (Machine)",,"",1,"normal",80,6,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Standing Calf Raise (Machine)",,"",0,"warmup",140,6,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Standing Calf Raise (Machine)",,"",1,"failure",180,10,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Crunch (Machine)",,"",0,"warmup",35,5,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Crunch (Machine)",,"",1,"normal",75,8,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Crunch (Machine)",,"",2,"failure",75,8,,,
"L1","15 Feb 2026, 10:46","15 Feb 2026, 11:28","","Lying Leg Curl (Machine)",,"",0,"normal",80,7,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","Chest Press (Machine)",,"",0,"warmup",40,10,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","Chest Press (Machine)",,"",1,"warmup",60,4,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","Chest Press (Machine)",,"",2,"warmup",80,2,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","Chest Press (Machine)",,"",3,"normal",110,9,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","Chest Press (Machine)",,"",4,"failure",115,7,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","Lat Pulldown - Close Grip (Cable)",,"",0,"warmup",30,8,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","Lat Pulldown - Close Grip (Cable)",,"",1,"warmup",75,4,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","Lat Pulldown - Close Grip (Cable)",,"",2,"normal",100,7,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","Lat Pulldown - Close Grip (Cable)",,"",3,"failure",100,6,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","T Bar Row",,"Máquina desconfortável pra caralho",0,"warmup",40,4,,,
"U2","13 Feb 2026, 18:08","13 Feb 2026, 18:42","Passei mal","T Bar Row",,"Máquina desconfortável pra caralho",1,"normal",60,6,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Straight Leg Deadlift",,"",0,"warmup",52,6,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Straight Leg Deadlift",,"",1,"warmup",72,4,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Straight Leg Deadlift",,"",2,"warmup",112,2,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Straight Leg Deadlift",,"",3,"normal",132,6,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Straight Leg Deadlift",,"",4,"failure",132,5,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Leg Extension (Machine)",,"Extensora reta, que delícia 😮‍💨😮‍💨😮‍💨",0,"warmup",50,5,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Leg Extension (Machine)",,"Extensora reta, que delícia 😮‍💨😮‍💨😮‍💨",1,"warmup",90,3,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Leg Extension (Machine)",,"Extensora reta, que delícia 😮‍💨😮‍💨😮‍💨",2,"normal",110,7,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Leg Extension (Machine)",,"Extensora reta, que delícia 😮‍💨😮‍💨😮‍💨",3,"failure",110,6,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Crunch (Machine)",,"",0,"warmup",35,5,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Crunch (Machine)",,"",1,"normal",70,8,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Crunch (Machine)",,"",2,"normal",75,8,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Calf Extension (Machine)",,"",0,"warmup",100,6,,,
"L2","12 Feb 2026, 17:54","12 Feb 2026, 18:43","","Calf Extension (Machine)",,"",1,"normal",170,12,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Chest Press (Machine)",,"",0,"warmup",40,10,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Chest Press (Machine)",,"",1,"warmup",60,6,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Chest Press (Machine)",,"",2,"warmup",80,3,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Chest Press (Machine)",,"",3,"normal",100,10,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Chest Press (Machine)",,"",4,"failure",110,10,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Chest Fly (Machine)",,"",0,"warmup",50,5,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Chest Fly (Machine)",,"",1,"failure",90,7,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Iso-Lateral Row (Machine)",,"",0,"warmup",15,8,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Iso-Lateral Row (Machine)",,"",1,"warmup",30,5,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Iso-Lateral Row (Machine)",,"",2,"normal",80,7,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Lateral Raise (Machine)",,"",0,"warmup",15,10,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Lateral Raise (Machine)",,"",1,"warmup",30,5,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Lateral Raise (Machine)",,"",2,"normal",50,7,,,
"U1","10 Feb 2026, 18:16","10 Feb 2026, 18:51","","Lateral Raise (Machine)",,"",3,"failure",50,5,,,
